iter	Passed	Remaining
0	36	3617
1	1	447	21902	558	18067
3	683	16400
4	801	15227
5	853	13373
6	865	11505
7	880	10128
8	894	9039
9	951	8562
10	1026	8307
11	1081	7934
12	1109	7428
13	1159	7125
14	1213	6873
15	1223	6421
16	1238	6046
17	1250	5695
18	1257	5362
19	1285	5143
20	1316	4950
21	1330	4717
22	1347	4512
23	1385	4386
24	1400	4202
25	1409	4012
26	1419	3836
27	1437	3696
28	1456	3564
29	1472	3436
30	1482	3299
31	1498	3184
32	1510	3066
33	1533	2976
34	1542	2865
35	1553	2761
36	1576	2685
37	1585	2587
38	1607	2514
39	1622	2434
40	1629	2345
41	1644	2271
42	1659	2199
43	1668	2123
44	1685	2059
45	1695	1990
46	1709	1928
47	1727	1871
48	1734	1805
49	1753	1753
50	1765	1696
51	1784	1647
52	1807	1602
53	1826	1555
54	1843	1508
55	1858	1460
56	1880	1418
57	1889	1368
58	1903	1322
59	2009	1339
60	2181	1394
61	2232	1368
62	2243	1317
63	2250	1265
64	2266	1220
65	2274	1171
66	2288	1127
67	2297	1081
68	2313	1039
69	2321	994
70	2326	950
71	2340	910
72	2349	868
73	2358	828
74	2368	789
75	2381	751
76	2391	714
77	2397	676
78	2413	641
79	2425	606
80	2432	570
81	2439	535
82	2453	502
83	2461	468
84	2471	436
85	2484	404
86	2495	372
87	2504	341
88	2515	310
89	2526	280
90	2533	250
91	2543	221
92	2553	192
93	2561	163
94	2575	135
95	2593	108
96	2606	80
97	2620	53
98	2626	26
99	2638	0
99	2815	0
